Step         FID
   0  463.405144
  50  317.001059
 100  170.596973
 150  128.195512
 200   83.700187
 250   61.711008
 300   51.750680
 350   41.790353
 400   36.730300
 450   31.670247
 500   28.935784
 550   26.201321
 600   24.552712
 650   22.904103
 700   20.828411
 750   18.752719
 800   18.033363
 850   17.314007
 900   16.776494
 950   16.238980
1000   15.252352
1050   14.265725
1100   13.969812
1150   13.673899
1200   13.580860
1250   13.487820
1300   13.078073
1350   12.668327
1400   12.216219
1450   11.764111
1500   11.490415
1550   11.216718
1600   10.607006
1650    9.997294
1700    9.965315
1750    9.933336
1800    9.603267
1850    9.273198
1900    9.356991
1950    9.440784
2000    9.071934
2050    8.703083
2100    8.819478
2150    8.935872
2200    8.695485
2250    8.455098
